0.63	0.2048	0	0	0.64	0	0	0.987072	0.160279	0	0	1.00608	0	0
0.64	0.21125	0	0	0.65	0	0	0.986247	0.165281	0	0	1.0218	0	0
0.65	0.2178	0	0	0.66	0	0	0.985383	0.170356	0	0	1.03752	0	0
0.66	0.22445	0	0	0.67	0	0	0.984479	0.175504	0	0	1.05324	0	0
0.67	0.2312	0	0	0.68	0	0	0.983534	0.180725	0	0	1.06896	0	0
0.68	0.23805	0	0	0.69	0	0	0.982546	0.186017	0	0	1.08468	0	0
0.69	0.245	0	0	0.7	0	0	0.981516	0.191382	0	0	1.1004	0	0
0.7	0.25205	0	0	0.71	0	0	0.98044	0.196818	0	0	1.11612	0	0
0.71	0.2592	0	0	0.72	0	0	0.979318	0.202325	0	0	1.13184	0	0
0.72	0.26645	0	0	0.73	0	0	0.97815	0.207902	0	0	1.14756	0	0
0.73	0.2738	0	0	0.74	0	0	0.976932	0.213549	0	0	1.16328	0	0
0.74	0.28125	0	0	0.75	0	0	0.975665	0.219266	0	0	1.179	0	0
0.75	0.2888	0	0	0.76	0	0	0.974347	0.225052	0	0	1.19472	0	0
0.76	0.29645	0	0	0.77	0	0	0.972976	0.230907	0	0	1.21044	0	0
0.77	0.3042	0	0	0.78	0	0	0.971551	0.236829	0	0	1.22616	0	0
0.78	0.31205	0	0	0.79	0	0	0.970071	0.24282	0	0	1.24188	0	0
0.79	0.32	0	0	0.8	0	0	0.968535	0.248876	0	0	1.2576	0	0
0.8	0.32805	0	0	0.81	0	0	0.966941	0.255	0	0	1.27332	0	0
0.81	0.3362	0	0	0.82	0	0	0.965288	0.261188	0	0	1.28904	0	0
0.82	0.34445	0	0	0.83	0	0	0.963574	0.267442	0	0	1.30476	0	0
0.83	0.3528	0	0	0.84	0	0	0.961798	0.273761	0	0	1.32048	0	0
0.84	0.36125	0	0	0.85	0	0	0.959958	0.280142	0	0	1.3362	0	0
0.85	0.3698	0	0	0.86	0	0	0.958054	0.286587	0	0	1.35192	0	0
0.86	0.37845	0	0	0.87	0	0	0.956084	0.293094	0	0	1.36764	0	0
0.87	0.3872	0	0	0.88	0	0	0.954045	0.299663	0	0	1.38336	0	0
0.88	0.39605	0	0	0.89	0	0	0.951938	0.306292	0	0	1.39908	0	0
0.89	0.405	0	0	0.9	0	0	0.949759	0.312981	0	0	1.4148	0	0
0.9	0.41405	0	0	0.91	0	0	0.947509	0.319729	0	0	1.43052	0	0
0.91	0.4232	0	0	0.92	0	0	0.945185	0.326535	0	0	1.44624	0	0
0.92	0.43245	0	0	0.93	0	0	0.942786	0.333398	0	0	1.46196	0	0
0.93	0.4418	0	0	0.94	0	0	0.94031	0.340318	0	0	1.47768	0	0
0.94	0.45125	0	0	0.95	0	0	0.937757	0.347293	0	0	1.4934	0	0
0.95	0.4608	0	0	0.96	0	0	0.935124	0.354322	0	0	1.50912	0	0
0.96	0.47045	0	0	0.97	0	0	0.932409	0.361404	0	0	1.52484	0	0
0.97	0.4802	0	0	0.98	0	0	0.929612	0.368539	0	0	1.54056	0	0
0.98	0.49005	0	0	0.99	0	0	0.926731	0.375725	0	0	1.55628	0	0
0.99	0.5	0	0	1	0	0	0.923764	0.382961	0	0	1.572	0	0
1	0.51005	0	0	1.01	0	0	0.92071	0.390246	0	0	1.58772	0	0
1.01	0.5202	0	0	1.02	0	0	0.917571	0.397572	0	0	1.6003	0	0
1.02	0.53045	0	0	1.03	0	0	0.914351	0.404923	0	0	1.60973	0	0
1.03	0.5408	0	0	1.04	0	0	0.911056	0.412283	0	0	1.61602	0	0
