245	-99328.4	-4.17231e-11	1394.05	99999.7	3.92788e-11	-237.341	299999	5.38876e-11	-712.376	0
250	-99314.6	-4.25189e-11	1416.95	99999.7	3.13207e-11	-237.348	299999	4.77485e-11	-712.412	0
255	-99300.7	-4.28599e-11	1439.83	99999.7	3.04112e-11	-237.355	299999	4.20641e-11	-712.448	0
260	-99286.8	-4.20073e-11	1462.71	99999.7	4.11546e-11	-237.362	299999	4.70664e-11	-712.485	0
265	-99272.9	-4.27463e-11	1485.57	99999.7	3.7744e-11	-237.37	299999	4.38831e-11	-712.523	0
270	-99259	-4.17231e-11	1508.43	99999.7	4.502e-11	-237.378	299999	4.97948e-11	-712.562	0
275	-99245	-3.81988e-11	1531.28	99999.7	4.67253e-11	-237.385	299999	5.07043e-11	-712.601	0
280	-99231.1	-3.07523e-11	1554.11	99999.7	4.63842e-11	-237.393	299999	5.27507e-11	-712.641	0
285	-99217.1	-2.77396e-11	1576.94	99999.7	3.9222e-11	-237.402	299999	5.63887e-11	-712.682	0
290	-99203.1	-3.05818e-11	1599.76	99999.7	4.49063e-11	-237.41	299999	6.16183e-11	-712.723	0
295	-99189.1	-3.66072e-11	1622.57	99999.7	3.9222e-11	-237.418	299999	6.0254e-11	-712.765	0
300	-99175.1	-3.52429e-11	1645.36	99999.7	3.65503e-11	-237.427	299999	5.79803e-11	-712.808	0
305	-99161.1	-3.27418e-11	1668.15	99999.7	3.83693e-11	-237.435	299999	5.70708e-11	-712.852	0
310	-99147	-3.04112e-11	1690.93	99999.7	3.7744e-11	-237.444	299999	5.25233e-11	-712.896	0
315	-99132.9	-2.1771e-11	1713.7	99999.7	4.00746e-11	-237.453	299999	5.50244e-11	-712.941	0
320	-99118.9	-3.44471e-11	1736.46	99999.7	2.96723e-11	-237.462	299999	5.22959e-11	-712.986	0
325	-99104.7	-2.69438e-11	1759.21	99999.7	3.22871e-11	-237.472	299999	5.16138e-11	-713.033	0
330	-99090.6	-2.70006e-11	1781.95	99999.7	3.86535e-11	-237.481	299999	6.13909e-11	-713.08	0
335	-99076.5	-2.05773e-11	1804.68	99999.7	4.58158e-11	-237.49	299999	7.13953e-11	-713.127	0
340	-99062.3	-2.3249e-11	1827.41	99999.7	4.32578e-11	-237.5	299999	7.00311e-11	-713.176	0
345	-99048.2	-3.17755e-11	1850.12	99999.7	4.32578e-11	-237.51	299999	6.54836e-11	-713.225	0
350	-99034	-3.58682e-11	1872.82	99999.7	4.41105e-11	-237.52	299999	6.25278e-11	-713.275	0
355	-99019.8	-3.10365e-11	1895.51	99999.7	4.0643e-11	-237.53	299999	6.77574e-11	-713.326	0
360	-99005.6	-2.82512e-11	1918.19	99999.7	3.80282e-11	-237.54	299999	6.88942e-11	-713.377	0
365	-98991.3	-2.72848e-11	1940.87	99999.7	3.3765e-11	-237.551	299999	6.50289e-11	-713.429	0
370	-98977.1	-3.06954e-11	1963.53	99999.7	3.32534e-11	-237.561	299999	6.04814e-11	-713.482	0
375	-98962.8	-2.81375e-11	1986.19	99999.7	3.1946e-11	-237.572	299999	6.16183e-11	-713.535	0
380	-98948.5	-2.47837e-11	2008.83	99999.7	3.69482e-11	-237.583	299999	6.32099e-11	-713.589	0
385	-98934.2	-2.91038e-11	2031.46	99999.7	3.35376e-11	-237.594	299999	6.36646e-11	-713.644	0
390	-98919.9	-1.69393e-11	2054.09	99999.7	4.35421e-11	-237.605	299999	6.63931e-11	-713.699	0
395	-98905.5	-1.59162e-11	2076.7	99999.7	4.87717e-11	-237.616	299999	6.09361e-11	-713.756	0
400	-98891.2	-1.52909e-11	2099.31	99999.7	4.25757e-11	-237.627	299999	5.82077e-11	-713.813	0
405	-98876.8	-1.27329e-11	2121.91	99999.7	4.68958e-11	-237.639	299999	5.70708e-11	-713.87	0
410	-98862.4	-6.76437e-12	2144.49	99999.7	4.6839e-11	-237.65	299999	5.88898e-11	-713.929	0
415	-98848	-6.82121e-12	2167.07	99999.7	4.79758e-11	-237.662	299999	6.25278e-11	-713.988	0
420	-98833.6	-1.04023e-11	2189.63	99999.7	4.82601e-11	-237.674	299999	6.77574e-11	-714.047	0
425	-98819.2	-1.02887e-11	2212.19	99999.7	5.34897e-11	-237.686	299999	7.41238e-11	-714.108	0
430	-98804.7	-1.40972e-11	2234.74	99999.7	5.81508e-11	-237.698	299999	7.27596e-11	-714.169	0
435	-98790.3	-1.40972e-11	2257.28	99999.7	5.63318e-11	-237.711	299999	7.09406e-11	-714.231	0
440	-98775.8	-9.43601e-12	2279.8	99999.7	5.87193e-11	-237.723	299999	6.9349e-11	-714.294	0
445	-98761.3	-1.28466e-11	2302.32	99999.7	6.2812e-11	-237.736	299999	7.18501e-11	-714.357	0
450	-98746.8	-1.26761e-11	2324.83	99999.7	5.94014e-11	-237.749	299999	7.20775e-11	-714.421	0
455	-98732.2	-1.31308e-11	2347.33	99999.7	6.25278e-11	-237.762	299999	7.61702e-11	-714.486	0
460	-98717.7	-1.49498e-11	2369.82	99999.7	6.42331e-11	-237.775	299999	7.41238e-11	-714.551	0
465	-98703.1	-1.24487e-11	2392.3	99999.7	6.0254e-11	-237.788	299999	6.48015e-11	-714.617	0
470	-98688.5	-1.50635e-11	2414.77	99999.7	6.76437e-11	-237.801	299999	6.29825e-11	-714.684	0
475	-98673.9	-1.22782e-11	2437.23	99999.7	6.79847e-11	-237.815	299999	7.09406e-11	-714.752	0
480	-98659.3	-1.07434e-11	2459.68	99999.7	6.72458e-11	-237.828	299999	7.36691e-11	-714.82	0
485	-98644.7	-1.7792e-11	2482.12	99999.7	6.89511e-11	-237.842	299999	6.753e-11	-714.889	0
490	-98630	-1.79625e-11	2504.55	99999.7	7.0429e-11	-237.856	299999	6.18456e-11	-714.959	0
495	-98615.4	-1.6712e-11	2526.97	99999.7	7.12816e-11	-237.87	299999	6.52562e-11	-715.029	0
500	-98600.7	-1.80762e-11	2549.38	99999.7	7.10543e-11	-237.884	299999	6.11635e-11	-715.1	0
505	-98586	-1.21645e-11	2571.78	99999.7	7.78186e-11	-237.899	299999	6.16183e-11	-715.172	0
510	-98571.3	-6.53699e-12	2594.17	99999.7	8.1684e-11	-237.913	299999	6.48015e-11	-715.244	0
515	-98556.6	-2.89901e-12	2616.56	99999.7	8.5322e-11	-237.928	299999	6.753e-11	-715.318	0
520	-98541.8	1.19371e-12	2638.93	99999.7	8.30482e-11	-237.942	299999	6.45741e-11	-715.392	0
525	-98527	1.36424e-12	2661.29	99999.7	8.57767e-11	-237.957	299999	6.23004e-11	-715.466	0
530	-98512.3	-2.84217e-12	2683.64	99999.7	8.35598e-11	-237.972	299999	6.34373e-11	-715.542	0
535	-98497.5	-8.98126e-12	2705.99	99999.7	7.58291e-11	-237.988	299999	5.77529e-11	-715.618	0
540	-98482.7	-1.22782e-11	2728.32	99999.7	7.48628e-11	-238.003	299999	5.6616e-11	-715.694	0
545	-98467.8	-9.15179e-12	2750.64	99999.7	8.44693e-11	-238.018	299999	6.16183e-11	-715.772	0
550	-98453	-5.6275e-12	2772.96	99999.7	9.15747e-11	-238.034	299999	7.27596e-11	-715.85	0
555	-98438.1	-8.2423e-12	2795.26	99999.7	9.73728e-11	-238.05	299999	8.18545e-11	-715.929	0
560	-98423.3	-1.20508e-11	2817.56	99999.7	9.92486e-11	-238.066	299999	8.54925e-11	-716.009	0
565	-98408.4	-9.66338e-12	2839.84	99999.7	9.73728e-11	-238.082	299999	9.39053e-11	-716.089	0
570	-98393.5	-1.3813e-11	2862.11	99999.7	9.65201e-11	-238.098	299999	8.77662e-11	-716.17	0
575	-98378.5	-1.60298e-11	2884.38	99999.7	9.86233e-11	-238.114	299999	9.16316e-11	-716.252	0
580	-98363.6	-2.21689e-11	2906.63	99999.7	9.15747e-11	-238.131	299999	8.79936e-11	-716.334	0
585	-98348.6	-2.73985e-11	2928.88	99999.7	9.09495e-11	-238.147	299999	8.50378e-11	-716.417	0
590	-98333.7	-3.50724e-11	2951.12	99999.7	8.72546e-11	-238.164	299999	8.48104e-11	-716.501	0
595	-98318.7	-4.04725e-11	2973.34	99999.7	8.07177e-11	-238.181	299999	8.0945e-11	-716.585	0
600	-98303.7	-3.75167e-11	2995.56	99999.7	8.11156e-11	-238.198	299999	7.9126e-11	-716.671	0
605	-98288.6	-4.18936e-11	3017.76	99999.7	7.71365e-11	-238.215	299999	7.70797e-11	-716.757	0
610	-98273.6	-3.64366e-11	3039.96	99999.7	8.07177e-11	-238.232	299999	8.04903e-11	-716.843	0
615	-98258.5	-3.73461e-11	3062.15	99999.7	7.92397e-11	-238.25	299999	7.77618e-11	-716.931	0
